"id","dob","gender"
"ca.m.1414",1885-03-26,"male"
"ca.m.1415",1894-10-24,"male"
"ca.m.1419",1857-10-01,"male"
"ca.m.142",1971-12-15,"male"
"ca.m.1425",1849-08-20,"male"
"ca.m.143",1963-02-03,"male"
"ca.m.1433",1839-01-22,"male"
"ca.m.1435",1963-05-05,"female"
"ca.m.1436",1858-05-24,"male"
"ca.m.144",1951-11-10,"female"
"ca.m.1440",1911-12-18,"male"
"ca.m.1442",1936-03-01,"female"
"ca.m.1447",1924-02-20,"male"
"ca.m.1448",1931-01-01,"male"
"ca.m.1458",1929-07-07,"male"
"ca.m.146",1962-04-16,"male"
"ca.m.1464",1914-07-12,"male"
"ca.m.1466",1871-11-01,"male"
"ca.m.147",1953-01-11,"female"
"ca.m.1470",1904-07-24,"male"
"ca.m.1472",1900-05-23,"male"
"ca.m.1474",1908-09-16,"male"
"ca.m.1477",1881-11-19,"male"
"ca.m.148",1953-08-30,"male"
"ca.m.1482",1877-11-02,"male"
"ca.m.1484",1876-07-18,"male"
"ca.m.1487",1859-06-25,"male"
"ca.m.149",1957-12-10,"female"
"ca.m.1494",1871-04-22,"male"
"ca.m.1495",1943-07-17,"male"
"ca.m.15",1949-12-19,"male"
"ca.m.150",1955-05-02,"male"
"ca.m.1500",1873-03-25,"male"
"ca.m.1501",1891-12-13,"male"
"ca.m.1503",1945-07-22,"male"
"ca.m.1506",1891-05-03,"male"
"ca.m.1509",1952-03-21,"male"
"ca.m.151",1953-02-15,"male"
"ca.m.1515",1934-01-01,"female"
"ca.m.152",1968-05-30,"male"
"ca.m.1521",1912-11-02,"male"
"ca.m.1525",1898-08-23,"male"
"ca.m.1528",1875-11-19,"male"
"ca.m.1529",1892-06-02,"male"
"ca.m.153",1946-04-24,"male"
"ca.m.1532",1854-10-03,"male"
"ca.m.1535",1840-05-07,"male"
"ca.m.1537",1931-02-09,"male"
"ca.m.1538",1948-09-07,"male"
"ca.m.154",1937-08-16,"male"
"ca.m.1541",1842-02-23,"male"
"ca.m.1542",1874-01-12,"male"
"ca.m.1545",1831-08-16,"male"
"ca.m.1548",1916-07-31,"male"
"ca.m.155",1949-11-18,"male"
"ca.m.1552",1836-02-14,"male"
"ca.m.1554",1855-07-21,"male"
"ca.m.1555",1886-03-01,"male"
"ca.m.156",1961-12-07,"male"
"ca.m.1560",1864-01-06,"male"
"ca.m.1561",1852-09-09,"male"
"ca.m.1566",1915-04-20,"male"
"ca.m.1567",1930-09-12,"male"
"ca.m.1568",1857-01-14,"male"
"ca.m.1569",1881-12-20,"male"
"ca.m.157",1947-06-14,"male"
"ca.m.1571",1921-08-25,"male"
"ca.m.1572",1929-03-03,"male"
"ca.m.1575",1855-12-15,"male"
"ca.m.1576",1940-03-17,"male"
"ca.m.1579",1922-05-14,"male"
"ca.m.158",1957-11-07,"male"
"ca.m.1580",1932-08-27,"male"
"ca.m.1581",1850-04-24,"male"
"ca.m.1582",1942-02-15,"male"
"ca.m.159",1940-08-24,"female"
"ca.m.1590",1876-12-21,"male"
"ca.m.1593",1867-03-14,"male"
"ca.m.1599",1857-02-01,"male"
"ca.m.16",1977-06-16,"male"
"ca.m.160",1956-05-07,"male"
"ca.m.1605",1868-11-18,"male"
"ca.m.1613",1940-04-01,"male"
"ca.m.1619",1920-09-23,"male"
"ca.m.1623",1899-03-11,"male"
"ca.m.1625",1857-03-17,"male"
"ca.m.1629",1869-08-17,"male"
"ca.m.163",1944-04-06,"male"
"ca.m.1631",1855-08-03,"male"
"ca.m.1632",1916-12-05,"male"
"ca.m.1634",1913-10-02,"male"
"ca.m.1635",1931-05-18,"male"
"ca.m.1636",1909-07-04,"male"
"ca.m.1637",1883-06-05,"male"
"ca.m.1639",1897-06-25,"male"
"ca.m.164",1954-01-23,"female"
"ca.m.1648",1933-03-04,"male"
"ca.m.1649",1890-05-03,"male"
"ca.m.165",1950-07-18,"male"
"ca.m.166",1967-12-14,"male"
"ca.m.1660",1845-12-01,"male"
"ca.m.1663",1865-04-27,"male"
"ca.m.1669",1937-11-06,"male"
"ca.m.167",1948-10-02,"male"
"ca.m.1670",1906-09-18,"male"
"ca.m.1674",1871-11-29,"male"
"ca.m.1675",1830-08-01,"male"
"ca.m.1677",1955-01-03,"male"
"ca.m.1678",1854-11-22,"male"
"ca.m.1679",1911-08-28,"male"
"ca.m.168",1951-04-04,"male"
"ca.m.1681",1932-12-10,"male"
"ca.m.1686",1869-02-14,"male"
"ca.m.1687",1853-09-25,"male"
"ca.m.1689",1898-08-30,"male"
"ca.m.169",1943-01-02,"male"
"ca.m.1692",1866-10-25,"male"
"ca.m.1693",1844-05-03,"male"
"ca.m.1695",1843-11-23,"male"
"ca.m.1698",1940-10-11,"male"
"ca.m.17",1872-04-19,"male"
"ca.m.170",1940-03-10,"male"
"ca.m.1701",1923-11-04,"male"
"ca.m.1704",1866-04-15,"male"
"ca.m.1707",1899-04-30,"female"
"ca.m.1710",1895-08-23,"male"
"ca.m.1711",1895-12-21,"male"
"ca.m.1714",1912-11-17,"male"
"ca.m.1715",1908-10-18,"male"
"ca.m.1719",1865-11-12,"male"
"ca.m.172",1959-04-10,"male"
"ca.m.1723",1885-11-12,"male"
"ca.m.1725",1926-03-25,"male"
"ca.m.173",1951-10-05,"male"
"ca.m.1730",1888-10-11,"male"
"ca.m.1732",1937-02-08,"male"
"ca.m.1737",1850-12-27,"male"
"ca.m.1738",NA,"female"
"ca.m.174",1957-05-08,"male"
"ca.m.1743",1926-01-09,"male"
"ca.m.1747",1905-05-01,"male"
"ca.m.175",1951-09-05,"male"
"ca.m.1751",1930-06-19,"male"
"ca.m.1752",1841-04-04,"male"
"ca.m.1754",1851-12-17,"male"
"ca.m.1756",1840-08-28,"male"
"ca.m.1757",1949-04-01,"male"
"ca.m.176",1946-09-09,"male"
"ca.m.1764",1946-04-11,"male"
"ca.m.1766",1961-06-23,"male"
"ca.m.177",1965-09-27,"male"
"ca.m.1770",1937-02-07,"male"
"ca.m.1771",1933-08-14,"male"
"ca.m.1772",1960-06-11,"female"
"ca.m.1774",1898-11-08,"male"
"ca.m.1776",1867-08-05,"male"
"ca.m.1778",1902-06-16,"male"
"ca.m.1779",1875-11-20,"male"
"ca.m.178",1946-06-12,"male"
"ca.m.1780",1932-11-20,"female"
"ca.m.1781",1958-08-25,"male"
"ca.m.1787",1885-01-01,"male"
"ca.m.1788",1945-03-09,"female"
"ca.m.1793",1890-09-13,"male"
"ca.m.1794",1863-10-25,"male"
"ca.m.1795",1930-03-27,"male"
"ca.m.1799",1926-10-08,"male"
"ca.m.18",1952-09-08,"female"
"ca.m.180",1949-10-12,"male"
"ca.m.1800",1905-12-16,"male"
"ca.m.1801",1853-07-06,"male"
"ca.m.1802",1879-01-01,"male"
"ca.m.1804",1958-10-24,"male"
"ca.m.1805",1899-01-05,"male"
"ca.m.1806",1943-01-23,"female"
"ca.m.181",1945-01-05,"male"
"ca.m.1813",1940-04-18,"female"
"ca.m.1815",1840-03-13,"male"
"ca.m.1816",1967-01-10,"male"
"ca.m.1819",1839-11-14,"male"
"ca.m.182",1881-04-29,"male"
"ca.m.1820",1956-09-04,"male"
"ca.m.1821",1917-09-07,"male"
"ca.m.1822",1869-04-26,"male"
"ca.m.1823",1984-04-30,"female"
"ca.m.1825",1910-07-22,"male"
"ca.m.183",1947-11-17,"male"
"ca.m.1831",1883-05-04,"male"
"ca.m.1837",1984-11-15,"male"
"ca.m.1839",1931-09-23,"male"
"ca.m.184",1943-06-21,"female"
"ca.m.1840",1889-09-19,"male"
"ca.m.1841",1840-03-03,"male"
"ca.m.1842",1871-05-06,"male"
"ca.m.1846",1853-10-29,"male"
"ca.m.1849",1906-02-04,"male"
"ca.m.185",1955-12-13,"male"
"ca.m.1850",1939-01-10,"male"
"ca.m.1851",1883-06-23,"female"
"ca.m.1854",1836-10-11,"male"
"ca.m.1855",1914-05-17,"male"
"ca.m.1856",1910-07-20,"male"
"ca.m.186",1960-04-13,"male"
"ca.m.1861",1837-06-30,"male"
"ca.m.1865",1857-02-08,"male"
"ca.m.1866",1852-04-16,"male"
"ca.m.1867",1845-04-14,"male"
"ca.m.187",1938-08-28,"male"
"ca.m.1870",1871-11-01,"male"
"ca.m.1871",1943-01-01,"male"
"ca.m.1872",1847-11-12,"male"
"ca.m.1878",1854-09-04,"male"
"ca.m.1879",1913-05-16,"male"
"ca.m.188",1948-08-31,"male"
"ca.m.1882",1929-05-21,"male"
"ca.m.1883",1874-07-29,"male"
"ca.m.1884",1922-12-22,"male"
"ca.m.1887",1843-12-21,"male"
"ca.m.189",1968-07-09,"male"
"ca.m.1891",1878-08-18,"male"
"ca.m.1897",1846-10-06,"male"
"ca.m.1899",1850-05-21,"male"
"ca.m.19",1969-07-12,"male"
"ca.m.190",1947-07-22,"male"
"ca.m.1902",1875-05-23,"male"
"ca.m.191",1950-04-09,"male"
"ca.m.1911",1925-08-02,"male"
"ca.m.1915",1897-07-08,"male"
"ca.m.1917",1840-09-22,"male"
"ca.m.1918",1896-05-31,"male"
"ca.m.192",1944-08-11,"female"
"ca.m.1920",1903-06-24,"male"
"ca.m.1924",1870-10-27,"male"
"ca.m.1927",1865-12-19,"male"
"ca.m.1928",1931-01-21,"male"
"ca.m.193",1960-02-25,"male"
"ca.m.1933",1850-03-20,"male"
"ca.m.1937",1824-09-08,"male"
"ca.m.1938",1851-11-22,"male"
"ca.m.194",1944-06-20,"male"
"ca.m.1941",1880-11-17,"male"
"ca.m.1949",1860-07-24,"male"
"ca.m.195",1948-03-21,"male"
"ca.m.1950",1909-06-23,"male"
"ca.m.1951",1950-08-31,"female"
"ca.m.1955",1931-04-22,"male"
"ca.m.1956",NA,"female"
"ca.m.1957",1883-02-28,"male"
"ca.m.1959",1912-11-16,"male"
"ca.m.196",1924-06-04,"male"
"ca.m.1961",1889-01-22,"male"
"ca.m.1963",1914-11-18,"male"
"ca.m.1966",1897-01-01,"male"
"ca.m.197",1962-10-16,"male"
"ca.m.1972",1868-03-26,"male"
"ca.m.1973",1845-06-10,"male"
"ca.m.1977",1946-12-29,"male"
"ca.m.198",1962-05-13,"male"
"ca.m.1985",1923-08-06,"male"
"ca.m.1989",1821-05-04,"male"
"ca.m.199",1941-09-27,"male"
"ca.m.1991",1926-06-07,"male"
"ca.m.1993",1917-10-13,"male"
"ca.m.1994",1925-12-25,"male"
"ca.m.1996",NA,"female"
"ca.m.1998",1915-10-04,"male"
"ca.m.2",1949-05-06,"female"
"ca.m.20",1944-11-08,"female"
"ca.m.200",1952-02-18,"male"
"ca.m.2001",1829-02-14,"male"
"ca.m.2004",1900-07-24,"male"
"ca.m.2007",1846-11-27,"male"
"ca.m.2009",1904-05-16,"male"
"ca.m.201",1953-12-19,"male"
"ca.m.2011",1889-02-09,"male"
"ca.m.2015",1855-11-13,"male"
"ca.m.2018",1889-12-29,"male"
"ca.m.2019",1829-10-11,"male"
"ca.m.202",1956-07-21,"male"
"ca.m.2026",1917-09-07,"male"
"ca.m.2027",1853-12-08,"male"
"ca.m.2029",1876-06-17,"male"
"ca.m.203",1946-11-12,"male"
"ca.m.2033",1859-03-27,"male"
"ca.m.2034",1901-05-05,"male"
"ca.m.2035",1913-06-09,"male"
"ca.m.2036",1915-06-27,"male"
"ca.m.2037",1843-03-04,"male"
"ca.m.2038",1951-08-27,"male"
"ca.m.2039",1885-07-31,"male"
"ca.m.204",1941-07-28,"male"
"ca.m.2041",1946-02-06,"male"
"ca.m.2044",1925-07-20,"male"
"ca.m.2048",1884-05-17,"male"
"ca.m.205",1948-03-14,"female"
"ca.m.2051",1914-09-01,"male"
"ca.m.2056",1956-05-04,"male"
"ca.m.2057",1925-02-01,"male"
"ca.m.2059",1848-07-26,"male"
"ca.m.2064",1946-12-14,"male"
"ca.m.2065",1891-12-15,"male"
"ca.m.2069",1879-03-19,"male"
"ca.m.207",1974-05-14,"male"
"ca.m.2074",1947-11-13,"male"
"ca.m.208",1976-06-10,"male"
"ca.m.2080",1893-06-12,"male"
"ca.m.2085",1905-07-12,"male"
"ca.m.2086",1908-10-09,"male"
"ca.m.209",1951-07-27,"male"
"ca.m.2094",1891-07-05,"male"
"ca.m.2095",1935-03-22,"female"
"ca.m.2096",1919-07-03,"male"
"ca.m.2098",1874-07-14,"male"
"ca.m.2099",1871-04-11,"male"
"ca.m.21",1955-06-15,"male"
"ca.m.2100",1954-04-18,"male"
"ca.m.2102",1927-03-13,"male"
"ca.m.211",1942-07-22,"female"
"ca.m.2111",1952-03-04,"male"
"ca.m.2112",1943-07-05,"male"
"ca.m.2115",1858-02-02,"male"
"ca.m.2116",1844-08-15,"male"
"ca.m.212",1952-04-29,"male"
"ca.m.2120",1877-08-03,"male"
"ca.m.2127",1890-10-28,"male"
"ca.m.213",1910-11-08,"male"
"ca.m.2132",1872-12-11,"male"
"ca.m.2134",1911-04-22,"male"
"ca.m.2135",1951-11-16,"male"
"ca.m.2136",1871-08-15,"male"
"ca.m.2137",1892-11-21,"male"
"ca.m.2138",1938-03-02,"male"
"ca.m.2139",1840-07-06,"male"
"ca.m.214",1923-10-02,"male"
"ca.m.2140",1874-01-05,"male"
"ca.m.2146",1895-01-11,"male"
"ca.m.215",1939-05-18,"male"
"ca.m.2155",1926-01-29,"male"
"ca.m.2156",1841-08-10,"male"
"ca.m.2157",1878-09-11,"male"
"ca.m.216",1950-07-05,"male"
"ca.m.2160",1867-12-29,"male"
"ca.m.2161",1876-04-24,"male"
"ca.m.2163",1905-05-09,"male"
"ca.m.2164",1895-01-28,"male"
"ca.m.2165",1872-02-02,"male"
"ca.m.2166",1866-11-17,"male"
"ca.m.217",1944-07-27,"female"
"ca.m.2172",1920-10-19,"male"
"ca.m.2174",1923-08-31,"male"
"ca.m.2176",1866-11-14,"male"
"ca.m.218",1948-09-08,"male"
"ca.m.2182",1948-04-16,"male"
"ca.m.2184",1922-07-20,"male"
"ca.m.2186",1884-09-04,"male"
"ca.m.219",1962-08-22,"male"
"ca.m.2195",1878-12-21,"male"
"ca.m.22",1942-03-10,"male"
"ca.m.220",1954-07-06,"male"
"ca.m.221",1955-06-01,"male"
"ca.m.2215",1922-06-21,"male"
"ca.m.2219",1963-07-12,"male"
"ca.m.2223",1861-08-29,"male"
"ca.m.2224",1833-05-07,"male"
"ca.m.2225",1907-05-25,"male"
"ca.m.2226",1895-05-15,"male"
"ca.m.2227",1874-08-11,"male"
"ca.m.2229",1932-08-11,"female"
"ca.m.223",1865-12-17,"male"
"ca.m.2231",1876-01-09,"male"
"ca.m.2234",1885-05-23,"male"
"ca.m.2235",1936-01-17,"male"
"ca.m.2236",1888-04-16,"male"
"ca.m.2239",1933-05-01,"male"
"ca.m.224",1943-01-30,"male"
"ca.m.2241",1951-03-25,"female"
"ca.m.2248",1901-05-10,"male"
"ca.m.2251",1871-12-28,"male"
"ca.m.2255",1874-11-17,"male"
"ca.m.2256",1956-08-01,"male"
"ca.m.226",1940-12-10,"male"
"ca.m.2260",1901-01-01,"male"
"ca.m.2261",1858-06-17,"male"
"ca.m.2263",1868-10-06,"male"
"ca.m.2267",1861-11-14,"male"
"ca.m.227",1941-07-30,"male"
"ca.m.2275",1855-04-30,"male"
"ca.m.2276",1914-08-11,"male"
"ca.m.2278",1871-01-08,"male"
"ca.m.228",1873-08-19,"male"
"ca.m.2281",1892-04-10,"male"
"ca.m.2287",1894-07-29,"male"
"ca.m.2289",1861-11-04,"male"
"ca.m.2290",1949-03-02,"male"
"ca.m.2291",1930-11-28,"male"
"ca.m.2293",1944-06-01,"female"
"ca.m.2297",1907-12-19,"male"
"ca.m.23",1964-06-03,"male"
"ca.m.230",1947-04-27,"female"
"ca.m.2300",1905-01-28,"female"
"ca.m.2301",1960-05-04,"male"
"ca.m.2305",1932-12-28,"female"
"ca.m.2309",1878-12-08,"male"
"ca.m.2310",1862-08-31,"male"
"ca.m.2313",1949-02-24,"male"
"ca.m.2314",1893-11-05,"male"
"ca.m.2317",1910-05-30,"male"
"ca.m.232",1943-07-31,"male"
"ca.m.2324",1907-07-05,"male"
"ca.m.2325",1889-06-11,"male"
"ca.m.2328",1909-01-01,"male"
"ca.m.2329",1818-06-17,"male"
"ca.m.233",1979-06-03,"male"
"ca.m.2331",1905-07-25,"female"
"ca.m.2335",1926-10-11,"male"
"ca.m.2337",1853-01-04,"male"
"ca.m.2341",1852-07-25,"male"
"ca.m.2342",1852-01-14,"male"
"ca.m.2344",1907-10-07,"male"
"ca.m.2348",1843-10-25,"male"
"ca.m.2350",1838-11-29,"male"
"ca.m.2352",1909-05-26,"male"
"ca.m.2354",1844-03-07,"male"
"ca.m.2356",1921-02-08,"male"
"ca.m.236",1956-07-20,"male"
"ca.m.2364",1857-01-15,"male"
"ca.m.2365",1863-04-08,"male"
"ca.m.2367",1956-02-29,"male"
"ca.m.2368",1927-06-29,"female"
"ca.m.2369",1920-08-21,"male"
"ca.m.237",1955-06-14,"male"
"ca.m.2372",1933-06-26,"male"
"ca.m.2373",1955-08-14,"male"
"ca.m.2375",1878-04-14,"male"
"ca.m.2378",1851-03-14,"male"
"ca.m.2379",1957-08-11,"male"
"ca.m.238",1946-03-06,"male"
"ca.m.2386",1913-07-15,"male"
"ca.m.2387",1896-07-09,"male"
"ca.m.2388",1883-01-14,"male"
"ca.m.239",1970-08-19,"male"
"ca.m.2391",1943-01-26,"male"
"ca.m.2393",1860-09-29,"male"
"ca.m.2399",1951-05-25,"male"
"ca.m.24",1950-12-20,"female"
"ca.m.240",NA,"female"
"ca.m.2400",1897-11-17,"male"
"ca.m.2402",1891-07-07,"male"
"ca.m.2403",1898-09-13,"male"
"ca.m.2405",1889-08-26,"male"
"ca.m.2406",1873-12-18,"male"
"ca.m.2408",1865-09-14,"male"
"ca.m.241",1953-01-08,"female"
"ca.m.2411",1949-08-18,"male"
"ca.m.2413",1877-09-01,"male"
"ca.m.2414",1895-02-27,"male"
"ca.m.2415",1872-01-20,"male"
"ca.m.2416",1850-03-24,"male"
"ca.m.2417",1868-09-01,"male"
"ca.m.2419",1877-01-05,"male"
"ca.m.242",1959-11-22,"male"
"ca.m.2421",1868-06-22,"male"
"ca.m.2423",1876-01-17,"male"
"ca.m.2427",1895-06-10,"male"
"ca.m.243",1964-01-25,"male"
"ca.m.2430",1911-03-03,"male"
"ca.m.2431",1867-09-12,"male"
"ca.m.2435",1854-12-17,"male"
"ca.m.2437",1900-08-26,"male"
"ca.m.2438",1873-05-10,"male"
"ca.m.244",1923-08-16,"male"
"ca.m.2443",1921-12-08,"male"
"ca.m.2445",1918-02-13,"male"
"ca.m.245",1947-10-31,"male"
"ca.m.2450",1894-09-09,"male"
"ca.m.2455",1830-11-27,"male"
"ca.m.2457",1921-02-15,"male"
"ca.m.2458",1860-04-22,"male"
"ca.m.246",1951-08-19,"male"
"ca.m.2460",1936-08-31,"male"
"ca.m.2463",1834-10-26,"male"
"ca.m.2465",1851-01-26,"male"
"ca.m.247",1945-06-16,"female"
"ca.m.2472",1867-10-27,"male"
"ca.m.2475",1868-02-25,"male"
"ca.m.248",1967-06-21,"male"
"ca.m.2482",1913-04-26,"male"
"ca.m.2485",1914-02-02,"male"
"ca.m.2489",1937-08-20,"male"
"ca.m.249",1961-05-15,"male"
"ca.m.2495",1911-08-22,"male"
"ca.m.2497",1859-12-26,"male"
"ca.m.25",1950-07-07,"male"
"ca.m.250",1949-07-21,"male"
"ca.m.2500",1943-04-14,"male"
"ca.m.2502",1953-04-21,"male"
"ca.m.2507",1866-12-19,"male"
"ca.m.251",1951-01-17,"male"
"ca.m.2518",1943-11-13,"male"
"ca.m.2519",1920-03-19,"male"
"ca.m.252",1963-11-22,"male"
"ca.m.2522",1948-05-23,"male"
"ca.m.2528",1935-08-22,"male"
"ca.m.2529",1860-01-01,"male"
